relationship_id,source_account,target_account,relationship_type,total_amount,transaction_count
REL20001,ACC100043,ACC100001,Common IP,376898.56,48
REL20002,ACC100040,ACC100014,Mule Chain,530284.67,16
REL20003,ACC100054,ACC100063,Frequent Transactor,972586.68,10
REL20004,ACC100036,ACC100012,Frequent Transactor,921353.13,34
REL20005,ACC100053,ACC100048,Co-holder,974580.24,6
REL20006,ACC100013,ACC100065,Mule Chain,637578.46,26
REL20007,ACC100010,ACC100008,Co-holder,662781.48,9
REL20008,ACC100031,ACC100038,Beneficiary,851062.79,26
REL20009,ACC100042,ACC100041,Co-holder,272683.92,5
REL20010,ACC100026,ACC100018,Shared Device,109863.86,7
REL20011,ACC100022,ACC100058,Co-holder,314719.25,8
REL20012,ACC100069,ACC100046,Mule Chain,452465.16,30
REL20013,ACC100034,ACC100016,Frequent Transactor,158457.76,44
REL20014,ACC100039,ACC100006,Mule Chain,836088.83,21
REL20015,ACC100019,ACC100012,Common IP,248970.57,23
REL20016,ACC100051,ACC100066,Frequent Transactor,677506.19,17
REL20017,ACC100023,ACC100004,Co-holder,854746.7,36
REL20018,ACC100032,ACC100013,Co-holder,102805.44,9
REL20019,ACC100016,ACC100002,Frequent Transactor,830541.96,15
REL20020,ACC100017,ACC100026,Co-holder,372867.5,41
REL20021,ACC100011,ACC100034,Frequent Transactor,22778.38,5
REL20022,ACC100026,ACC100057,Mule Chain,92886.66,22
REL20023,ACC100016,ACC100006,Co-holder,51587.06,37
REL20024,ACC100056,ACC100051,Co-holder,30452.81,44
REL20025,ACC100055,ACC100023,Beneficiary,215501.39,12
REL20026,ACC100036,ACC100058,Mule Chain,35614.79,40
REL20027,ACC100032,ACC100038,Co-holder,412580.21,36
REL20028,ACC100062,ACC100008,Frequent Transactor,280496.21,9
REL20029,ACC100054,ACC100026,Common IP,884767.86,34
REL20030,ACC100032,ACC100070,Frequent Transactor,989414.21,46
REL20031,ACC100046,ACC100062,Shared Device,781653.67,23
REL20032,ACC100065,ACC100042,Co-holder,271165.25,2
REL20033,ACC100041,ACC100029,Frequent Transactor,895869.02,50
REL20034,ACC100036,ACC100008,Co-holder,529902.86,50
REL20035,ACC100030,ACC100021,Frequent Transactor,248609.2,16
REL20036,ACC100035,ACC100069,Common IP,56852.75,15
REL20037,ACC100050,ACC100046,Mule Chain,176924.27,38
REL20038,ACC100041,ACC100046,Shared Device,29178.36,45
REL20039,ACC100046,ACC100019,Shared Device,948420.14,32
REL20040,ACC100070,ACC100040,Mule Chain,490945.98,6
REL20041,ACC100008,ACC100030,Shared Device,219590.13,34
REL20042,ACC100062,ACC100001,Beneficiary,917978.29,13
REL20043,ACC100017,ACC100044,Common IP,178282.41,21
REL20044,ACC100008,ACC100003,Mule Chain,587022.57,10
REL20045,ACC100015,ACC100068,Beneficiary,960598.19,24
REL20046,ACC100051,ACC100013,Beneficiary,302463.39,9
REL20047,ACC100021,ACC100056,Common IP,960701.44,42
REL20048,ACC100041,ACC100023,Common IP,968774.15,45
REL20049,ACC100046,ACC100029,Common IP,589361.21,12
REL20050,ACC100049,ACC100040,Common IP,688809.94,9
REL20051,ACC100023,ACC100001,Common IP,948749.46,26
REL20052,ACC100005,ACC100024,Shared Device,318898.69,40
REL20053,ACC100029,ACC100014,Co-holder,141502.72,48
REL20054,ACC100010,ACC100031,Beneficiary,982397.28,11
REL20055,ACC100012,ACC100043,Co-holder,12384.22,14
REL20056,ACC100032,ACC100009,Beneficiary,257401.28,7
REL20057,ACC100001,ACC100007,Co-holder,438781.92,27
REL20058,ACC100022,ACC100053,Co-holder,881888.89,23
REL20059,ACC100070,ACC100049,Frequent Transactor,828978.17,37
REL20060,ACC100029,ACC100021,Co-holder,74635.68,3
REL20061,ACC100038,ACC100003,Beneficiary,261866.58,7
REL20062,ACC100010,ACC100044,Mule Chain,888043.34,11
