complaint_id,district_id,complaint_date,complaint_time,fraud_type,crime_category,fraud_amount,victim_city,victim_latitude,victim_longitude,source_channel,status
CC1001,TN03,2026-07-15,14:32:00,UPI Fraud,Online Financial Fraud,487500.0,Chennai,13.0827,80.2707,Helpline 1930,Under Investigation
CC1002,TN13,2026-01-08,14:35:55,Job Fraud,Identity Fraud,322356.02,Madurai,9.8966,78.0839,National Cybercrime Portal,Pending Review
CC1003,TN29,2025-11-04,19:26:03,SIM Swap,Social Engineering,169503.89,Thoothukudi,8.8032,78.1508,Walk-in Complaint,Resolved
CC1004,TN12,2026-03-30,00:44:13,Job Fraud,Cyber Deception,333829.78,Krishnagiri,12.4959,78.2383,Walk-in Complaint,FIR Filed
CC1005,TN26,2026-08-12,06:09:26,Investment Scam,Banking Fraud,123603.54,Theni,10.0342,77.5031,Helpline 1930,Chargesheet Filed
CC1006,TN34,2025-02-06,21:06:50,Phishing,Online Financial Fraud,11711.57,Tiruvannamalai,12.2673,79.1116,Bank Referral,Under Investigation
CC1007,TN21,2026-01-01,06:47:09,SIM Swap,Identity Fraud,420498.58,Ranipet,12.9135,79.3742,Walk-in Complaint,Resolved
CC1008,TN31,2025-12-13,22:11:18,Loan Fraud,Online Financial Fraud,401365.63,Tirunelveli,8.6799,77.7948,State Police Portal,Resolved
CC1009,TN08,2026-06-30,19:26:10,Identity Theft,Cyber Deception,314712.56,Erode,11.361,77.6953,State Police Portal,Under Investigation
CC1010,TN10,2026-04-01,03:48:02,OTP Fraud,Banking Fraud,236933.73,Kancheepuram,12.8319,79.7303,Walk-in Complaint,Chargesheet Filed
CC1011,TN29,2026-08-22,18:11:28,UPI Fraud,Banking Fraud,473355.43,Thoothukudi,8.7709,78.1734,National Cybercrime Portal,Chargesheet Filed
CC1012,TN05,2025-07-01,04:39:19,Job Fraud,Social Engineering,56374.94,Cuddalore,11.7915,79.8174,State Police Portal,Chargesheet Filed
CC1013,TN19,2025-03-27,11:38:51,Card Skimming,Online Financial Fraud,311309.24,Pudukkottai,10.3887,78.8697,Bank Referral,Chargesheet Filed
CC1014,TN13,2026-06-10,08:33:57,UPI Fraud,Banking Fraud,159965.21,Madurai,9.8919,78.1347,Bank Referral,Chargesheet Filed
CC1015,TN29,2026-03-20,10:02:17,Card Skimming,Online Financial Fraud,167126.51,Thoothukudi,8.7173,78.172,Walk-in Complaint,Under Investigation
CC1016,TN37,2025-01-20,09:24:12,Card Skimming,Banking Fraud,194810.17,Viluppuram,11.9596,79.4631,Helpline 1930,Chargesheet Filed
CC1017,TN24,2026-06-09,13:26:45,Investment Scam,Social Engineering,471510.22,Tenkasi,8.9783,77.3203,Helpline 1930,Chargesheet Filed
CC1018,TN18,2025-03-27,14:58:42,Phishing,Identity Fraud,430878.09,Perambalur,11.2738,78.8344,State Police Portal,Under Investigation
CC1019,TN16,2025-03-18,05:23:04,OTP Fraud,Cyber Deception,400927.07,Kanniyakumari,8.1162,77.5749,National Cybercrime Portal,Under Investigation
CC1020,TN22,2025-03-14,04:37:40,Card Skimming,Identity Fraud,393279.68,Salem,11.6249,78.1082,State Police Portal,FIR Filed
CC1021,TN06,2025-07-10,02:45:05,UPI Fraud,Banking Fraud,396004.77,Dharmapuri,12.101,78.1132,National Cybercrime Portal,Resolved
CC1022,TN21,2026-06-27,06:30:52,SIM Swap,Banking Fraud,303123.45,Ranipet,12.8958,79.3121,Walk-in Complaint,Under Investigation
CC1023,TN29,2025-07-09,16:00:05,OTP Fraud,Social Engineering,132367.54,Thoothukudi,8.802,78.1423,State Police Portal,Under Investigation
CC1024,TN05,2025-07-12,05:54:20,SIM Swap,Social Engineering,197939.32,Cuddalore,11.7816,79.7511,Helpline 1930,Pending Review
CC1025,TN19,2025-08-12,13:16:52,Investment Scam,Social Engineering,265744.87,Pudukkottai,10.3952,78.8673,Bank Referral,Chargesheet Filed
CC1026,TN11,2025-03-08,01:04:31,Investment Scam,Online Financial Fraud,310302.85,Karur,10.9919,78.0346,Helpline 1930,Under Investigation
CC1027,TN06,2025-11-23,18:49:58,Investment Scam,Cyber Deception,339419.58,Dharmapuri,12.0843,78.1344,Bank Referral,Resolved
CC1028,TN23,2026-05-07,11:31:19,Card Skimming,Identity Fraud,273412.53,Sivaganga,9.8678,78.4537,State Police Portal,Under Investigation
CC1029,TN23,2026-02-24,14:56:29,Investment Scam,Banking Fraud,232348.31,Sivaganga,9.8832,78.4761,State Police Portal,Resolved
CC1030,TN27,2025-01-26,04:50:20,Job Fraud,Social Engineering,200309.71,Tiruvallur,13.0916,79.9362,State Police Portal,FIR Filed
CC1031,TN38,2025-07-08,06:06:01,Job Fraud,Banking Fraud,75800.01,Virudhunagar,9.5709,77.9146,Helpline 1930,FIR Filed
CC1032,TN20,2026-07-17,08:14:12,Card Skimming,Cyber Deception,362140.87,Ramanathapuram,9.3572,78.8768,State Police Portal,Resolved
CC1033,TN04,2025-12-28,03:04:20,Card Skimming,Cyber Deception,145371.61,Coimbatore,10.9903,77.0001,State Police Portal,Resolved
CC1034,TN32,2025-01-14,09:40:10,Investment Scam,Identity Fraud,342344.73,Tirupathur,12.4866,78.5283,State Police Portal,Pending Review
CC1035,TN19,2025-12-16,23:23:51,OTP Fraud,Identity Fraud,283098.52,Pudukkottai,10.3771,78.7723,Bank Referral,Resolved
CC1036,TN16,2025-08-03,10:44:14,Investment Scam,Banking Fraud,393616.26,Kanniyakumari,8.0938,77.5462,Bank Referral,FIR Filed
CC1037,TN09,2025-11-26,20:36:58,SIM Swap,Cyber Deception,305084.17,Kallakurichi,11.7696,78.9388,Walk-in Complaint,Resolved
CC1038,TN02,2025-11-17,16:56:06,Job Fraud,Social Engineering,312179.89,Chengalpattu,12.652,79.9748,Walk-in Complaint,Chargesheet Filed
CC1039,TN05,2026-04-06,12:49:12,Loan Fraud,Social Engineering,182527.45,Cuddalore,11.7758,79.7688,State Police Portal,Under Investigation
CC1040,TN21,2025-12-31,19:30:35,OTP Fraud,Identity Fraud,478377.15,Ranipet,12.9257,79.3147,Walk-in Complaint,FIR Filed
CC1041,TN13,2025-05-04,09:46:03,SIM Swap,Cyber Deception,399625.4,Madurai,9.9034,78.1489,Helpline 1930,Under Investigation
CC1042,TN20,2025-09-25,06:09:18,UPI Fraud,Online Financial Fraud,326165.85,Ramanathapuram,9.3901,78.79,Helpline 1930,FIR Filed
