district_id,district_name,state_name,latitude,longitude
TN01,Ariyalur,Tamil Nadu,11.14,79.0786
TN02,Chengalpattu,Tamil Nadu,12.6939,79.9757
TN03,Chennai,Tamil Nadu,13.0827,80.2707
TN04,Coimbatore,Tamil Nadu,11.0168,76.9558
TN05,Cuddalore,Tamil Nadu,11.748,79.7714
TN06,Dharmapuri,Tamil Nadu,12.1277,78.1582
TN07,Dindigul,Tamil Nadu,10.3624,77.9695
TN08,Erode,Tamil Nadu,11.341,77.7172
TN09,Kallakurichi,Tamil Nadu,11.7383,78.9639
TN10,Kancheepuram,Tamil Nadu,12.8342,79.7036
TN11,Karur,Tamil Nadu,10.9601,78.0766
TN12,Krishnagiri,Tamil Nadu,12.5186,78.2137
TN13,Madurai,Tamil Nadu,9.9252,78.1198
TN14,Mayiladuthurai,Tamil Nadu,11.1085,79.6534
TN15,Nagapattinam,Tamil Nadu,10.7672,79.8449
TN16,Kanniyakumari,Tamil Nadu,8.0883,77.5385
TN17,Namakkal,Tamil Nadu,11.2189,78.1674
TN18,Perambalur,Tamil Nadu,11.2342,78.8821
TN19,Pudukkottai,Tamil Nadu,10.3797,78.8205
TN20,Ramanathapuram,Tamil Nadu,9.3639,78.8321
TN21,Ranipet,Tamil Nadu,12.9272,79.3333
TN22,Salem,Tamil Nadu,11.6643,78.146
TN23,Sivaganga,Tamil Nadu,9.8433,78.4809
TN24,Tenkasi,Tamil Nadu,8.9564,77.3151
TN25,Thanjavur,Tamil Nadu,10.787,79.1378
TN26,Theni,Tamil Nadu,10.0104,77.4768
TN27,Tiruvallur,Tamil Nadu,13.1402,79.9071
TN28,Tiruvarur,Tamil Nadu,10.7661,79.6344
TN29,Thoothukudi,Tamil Nadu,8.7642,78.1348
TN30,Tiruchirappalli,Tamil Nadu,10.7905,78.7047
TN31,Tirunelveli,Tamil Nadu,8.7139,77.7567
TN32,Tirupathur,Tamil Nadu,12.4937,78.5661
TN33,Tiruppur,Tamil Nadu,11.1085,77.3411
TN34,Tiruvannamalai,Tamil Nadu,12.2253,79.0747
TN35,The Nilgiris,Tamil Nadu,11.4916,76.7337
TN36,Vellore,Tamil Nadu,12.9165,79.1325
TN37,Viluppuram,Tamil Nadu,11.9401,79.4861
TN38,Virudhunagar,Tamil Nadu,9.5872,77.9624
