historical_case_id,district_id,withdrawal_location_id,fraud_type,fraud_amount,transaction_hour,city,latitude,longitude,account_risk,transaction_velocity,distance_to_location,atm_density,historical_similarity,withdrawal_zone,outcome
HC30001,TN04,OSM00850,UPI Fraud,270680.01,7,Coimbatore,11.0162,77.0234,0.51,20,8.58,1,0.29,OSM00850,No Activity
HC30002,TN03,OSM00010,UPI Fraud,180325.84,19,Chennai,12.9864,80.2346,0.86,19,30.8,19,0.46,OSM00010,Withdrawal Detected
HC30003,TN04,OSM00678,Card Skimming,94566.09,7,Coimbatore,11.0785,76.9418,0.84,6,27.63,4,0.91,OSM00678,No Activity
HC30004,TN03,OSM01591,Phishing,153935.89,12,Chennai,12.9471,80.2098,0.88,24,34.18,19,0.55,OSM01591,No Activity
HC30005,TN12,OSM01340,OTP Fraud,6204.64,1,Krishnagiri,12.5434,78.3545,0.92,6,9.01,18,0.52,OSM01340,No Activity
HC30006,TN19,OSM01585,Phishing,295933.34,9,Pudukkottai,10.0939,78.7869,0.98,18,32.79,16,0.59,OSM01585,No Activity
HC30007,TN25,OSM01089,SIM Swap,69364.06,15,Thanjavur,10.9283,79.3583,0.53,7,1.65,6,0.42,OSM01089,Withdrawal Attempted
HC30008,TN08,OSM00474,Romance Scam,283260.61,13,Erode,11.45,77.7716,0.59,23,45.46,1,0.26,OSM00474,Withdrawal Attempted
HC30009,TN05,OSM01092,Job Fraud,247221.67,10,Cuddalore,11.6043,79.5439,0.8,15,2.18,9,0.17,OSM01092,No Activity
HC30010,TN29,OSM01066,Phishing,190539.06,7,Thoothukudi,8.6569,77.9996,0.88,15,28.21,9,0.18,OSM01066,No Activity
HC30011,TN04,OSM00691,Investment Scam,273400.04,16,Coimbatore,11.2409,76.96,0.74,5,48.67,16,0.41,OSM00691,No Activity
HC30012,TN04,OSM00116,UPI Fraud,253790.57,18,Coimbatore,10.9948,76.9593,0.6,22,4.0,9,0.6,OSM00116,No Activity
HC30013,TN25,OSM00045,Phishing,177365.37,19,Thanjavur,10.7693,79.1132,0.56,11,29.73,17,0.77,OSM00045,Withdrawal Attempted
HC30014,TN03,OSM00164,SIM Swap,226013.75,9,Chennai,12.9763,80.1884,0.54,5,17.15,20,0.29,OSM00164,Withdrawal Attempted
HC30015,TN33,OSM01022,Investment Scam,71598.79,19,Tiruppur,11.142,77.2046,0.55,15,15.33,16,0.42,OSM01022,No Activity
HC30016,TN05,OSM00879,OTP Fraud,267253.79,3,Cuddalore,11.7661,79.745,0.91,22,31.63,7,0.79,OSM00879,No Activity
HC30017,TN29,OSM01372,Card Skimming,225525.58,12,Thoothukudi,8.8043,78.1504,0.4,2,15.49,11,0.4,OSM01372,No Activity
HC30018,TN03,OSM00510,UPI Fraud,35400.67,19,Chennai,12.9227,80.1496,0.91,24,39.27,14,0.37,OSM00510,Withdrawal Attempted
HC30019,TN03,OSM00461,Phishing,56895.97,23,Chennai,13.0649,80.1936,0.49,9,32.79,8,0.9,OSM00461,Withdrawal Detected
HC30020,TN35,OSM00003,Romance Scam,295722.41,1,The Nilgiris,11.4079,76.7068,0.78,20,7.49,11,0.97,OSM00003,Withdrawal Detected
HC30021,TN27,OSM01307,Loan Fraud,205126.74,19,Tiruvallur,12.9323,80.0453,0.41,7,31.7,3,0.57,OSM01307,No Activity
HC30022,TN19,OSM01585,UPI Fraud,20489.05,0,Pudukkottai,10.0939,78.7869,0.74,9,38.62,12,0.97,OSM01585,Withdrawal Detected
HC30023,TN33,OSM00212,OTP Fraud,257052.51,23,Tiruppur,11.2358,77.1075,0.43,10,23.21,6,0.9,OSM00212,Withdrawal Attempted
HC30024,TN24,OSM01488,UPI Fraud,5944.55,22,Tenkasi,9.0894,77.3477,0.79,5,39.33,17,0.42,OSM01488,Withdrawal Detected
HC30025,TN04,OSM00351,Investment Scam,201162.71,0,Coimbatore,11.0285,76.9019,0.89,9,42.6,8,0.33,OSM00351,Withdrawal Attempted
HC30026,TN29,OSM01050,Investment Scam,110615.78,23,Thoothukudi,8.7346,78.0001,0.41,7,41.23,8,0.76,OSM01050,Withdrawal Detected
HC30027,TN03,OSM00631,Phishing,32275.13,1,Chennai,13.0855,80.1925,0.54,23,12.7,18,0.49,OSM00631,Withdrawal Detected
HC30028,TN03,OSM01572,UPI Fraud,90153.36,10,Chennai,13.0661,80.1953,0.47,14,45.37,14,0.34,OSM01572,Withdrawal Attempted
HC30029,TN19,OSM01138,Loan Fraud,92568.6,21,Pudukkottai,10.0735,78.7774,0.99,17,36.28,4,0.13,OSM01138,Withdrawal Detected
HC30030,TN04,OSM00745,Romance Scam,84878.63,11,Coimbatore,11.0788,76.9419,0.49,16,41.77,4,0.34,OSM00745,No Activity
HC30031,TN03,OSM00149,SIM Swap,90778.09,3,Chennai,13.0367,80.2164,0.62,25,29.69,20,0.88,OSM00149,No Activity
HC30032,TN03,OSM00165,OTP Fraud,128096.34,8,Chennai,12.9937,80.1854,0.69,5,19.43,16,0.19,OSM00165,Withdrawal Detected
HC30033,TN35,OSM00084,Card Skimming,185316.18,11,The Nilgiris,11.2997,76.9387,0.45,20,8.99,4,0.58,OSM00084,Withdrawal Attempted
HC30034,TN13,OSM00489,Romance Scam,237006.6,13,Madurai,9.922,78.1488,0.74,22,24.53,4,0.5,OSM00489,No Activity
HC30035,TN04,OSM00404,Loan Fraud,66688.55,15,Coimbatore,11.026,76.9062,0.62,9,48.99,7,0.75,OSM00404,Withdrawal Attempted
HC30036,TN29,OSM01372,OTP Fraud,299040.93,22,Thoothukudi,8.8043,78.1504,0.4,10,25.23,20,0.44,OSM01372,Withdrawal Detected
HC30037,TN25,OSM01354,Investment Scam,271469.94,6,Thanjavur,10.7971,79.1377,0.85,25,21.0,8,0.27,OSM01354,No Activity
HC30038,TN04,OSM01536,Phishing,120056.78,5,Coimbatore,11.0395,76.9293,0.57,5,29.24,11,0.32,OSM01536,Withdrawal Detected
HC30039,TN29,OSM01143,Loan Fraud,11782.23,7,Thoothukudi,9.1496,77.9874,0.97,25,12.94,8,0.43,OSM01143,Withdrawal Detected
HC30040,TN13,OSM00431,SIM Swap,58145.09,10,Madurai,9.9487,78.1625,0.92,15,13.83,18,0.88,OSM00431,Withdrawal Detected
HC30041,TN07,OSM00787,OTP Fraud,63705.84,19,Dindigul,10.3603,77.9795,0.5,3,24.96,13,0.58,OSM00787,Withdrawal Detected
HC30042,TN04,OSM00089,UPI Fraud,168835.27,14,Coimbatore,11.0318,76.9506,0.49,7,12.94,5,0.62,OSM00089,No Activity
HC30043,TN13,OSM01463,UPI Fraud,264831.88,12,Madurai,9.9321,78.0939,0.52,20,41.49,16,0.51,OSM01463,No Activity
