location_id,district_id,location_name,city_or_town,location_type,latitude,longitude
LOC0001,TN01,Ariyalur Central,Ariyalur,CITY,11.1642,79.0531
LOC0002,TN01,Ariyalur North,Ariyalur,CITY,11.1577,79.1178
LOC0003,TN01,Ariyalur Central,Ariyalur,WITHDRAWAL_ZONE,11.1322,79.0316
LOC0004,TN01,Ariyalur North,Ariyalur,TOWN,11.1405,79.0313
LOC0005,TN02,Chengalpattu Market,Chengalpattu,WITHDRAWAL_ZONE,12.6859,79.9706
LOC0006,TN02,Chengalpattu South,Chengalpattu,CITY,12.7198,79.9417
LOC0007,TN03,Chennai South,Chennai,AREA,13.0482,80.3164
LOC0008,TN03,Chennai South,Chennai,CITY,13.042,80.2304
LOC0009,TN03,Chennai Plaza,Chennai,AREA,13.0931,80.3014
LOC0010,TN04,Coimbatore East,Coimbatore,WITHDRAWAL_ZONE,10.9793,76.998
LOC0011,TN04,Coimbatore Central,Coimbatore,WITHDRAWAL_ZONE,10.9961,76.9687
LOC0012,TN04,Coimbatore Plaza,Coimbatore,AREA,11.0245,76.9763
LOC0013,TN04,Coimbatore Central,Coimbatore,TOWN,11.0441,77.0043
LOC0014,TN05,Cuddalore Plaza,Cuddalore,CITY,11.736,79.7667
LOC0015,TN05,Cuddalore Plaza,Cuddalore,AREA,11.7143,79.7569
LOC0016,TN06,Dharmapuri South,Dharmapuri,CITY,12.1386,78.1253
LOC0017,TN06,Dharmapuri Market,Dharmapuri,TOWN,12.094,78.1461
LOC0018,TN06,Dharmapuri Market,Dharmapuri,WITHDRAWAL_ZONE,12.0997,78.1406
LOC0019,TN06,Dharmapuri Plaza,Dharmapuri,CITY,12.1006,78.1114
LOC0020,TN07,Dindigul East,Dindigul,AREA,10.319,78.0108
LOC0021,TN07,Dindigul West,Dindigul,AREA,10.3337,77.9694
LOC0022,TN07,Dindigul Market,Dindigul,ATM_ZONE,10.3267,77.9335
LOC0023,TN08,Erode West,Erode,WITHDRAWAL_ZONE,11.3173,77.7257
LOC0024,TN08,Erode West,Erode,ATM_ZONE,11.3272,77.7669
LOC0025,TN08,Erode North,Erode,WITHDRAWAL_ZONE,11.3404,77.7428
LOC0026,TN08,Erode Plaza,Erode,CITY,11.3063,77.6832
LOC0027,TN09,Kallakurichi East,Kallakurichi,WITHDRAWAL_ZONE,11.6947,78.9521
LOC0028,TN09,Kallakurichi East,Kallakurichi,WITHDRAWAL_ZONE,11.7134,78.9692
LOC0029,TN09,Kallakurichi Central,Kallakurichi,CITY,11.7565,78.9676
LOC0030,TN09,Kallakurichi South,Kallakurichi,AREA,11.6995,78.9574
LOC0031,TN10,Kancheepuram Central,Kancheepuram,AREA,12.8814,79.7298
LOC0032,TN10,Kancheepuram West,Kancheepuram,CITY,12.8713,79.6834
LOC0033,TN10,Kancheepuram Market,Kancheepuram,WITHDRAWAL_ZONE,12.8451,79.6689
LOC0034,TN11,Karur West,Karur,WITHDRAWAL_ZONE,11.0019,78.0865
LOC0035,TN11,Karur East,Karur,CITY,10.9213,78.0629
LOC0036,TN12,Krishnagiri North,Krishnagiri,CITY,12.4927,78.2204
LOC0037,TN12,Krishnagiri Central,Krishnagiri,CITY,12.5418,78.2453
LOC0038,TN12,Krishnagiri Plaza,Krishnagiri,WITHDRAWAL_ZONE,12.5452,78.1765
LOC0039,TN13,Madurai West,Madurai,TOWN,9.9017,78.157
LOC0040,TN13,Madurai East,Madurai,TOWN,9.9681,78.1453
