location_id,district_id,location_reference_id,location_name,city,latitude,longitude,location_type,atm_count,area_risk_baseline,source,source_id,operator,brand,address,data_status
OSM00001,TN03,,HDFC Bank,Chennai,13.0391,80.2573,ATM,1,0.5,OpenStreetMap,248643383,HDFC Bank,HDFC Bank,,real_world_reference
OSM00002,TN35,,SBI,The Nilgiris,11.4113,76.703,ATM,1,0.5,OpenStreetMap,278088155,State Bank of India,State Bank of India,,real_world_reference
OSM00003,TN35,,Axis Bank,The Nilgiris,11.4079,76.7068,ATM,1,0.5,OpenStreetMap,278430236,Axis Bank,Axis Bank,,real_world_reference
OSM00004,TN03,,ICICI Bank,Chennai,12.9932,80.1853,ATM,1,0.5,OpenStreetMap,310830914,ICICI Bank,ICICI Bank,,real_world_reference
OSM00005,TN03,,UTI,Chennai,12.859,80.2409,ATM,1,0.5,OpenStreetMap,315308966,,,,real_world_reference
OSM00006,TN03,,Indian Bank,Chennai,12.9902,80.2563,ATM,1,0.5,OpenStreetMap,317827821,Indian Bank,Indian Bank,,real_world_reference
OSM00007,TN03,,State Bank of India,Chennai,13.0822,80.2764,ATM,1,0.5,OpenStreetMap,320955319,State Bank of India,State Bank of India,,real_world_reference
OSM00008,TN03,,ATM,Chennai,13.083,80.2744,ATM,1,0.5,OpenStreetMap,320959972,Canara Bank,Canara Bank,,real_world_reference
OSM00009,TN35,,Vijaya Bank ATM,The Nilgiris,11.4112,76.7077,ATM,1,0.5,OpenStreetMap,321418344,,,,real_world_reference
OSM00010,TN03,,State Bank of India,Chennai,12.9864,80.2346,ATM,1,0.5,OpenStreetMap,330797778,State Bank of India,State Bank of India,,real_world_reference
OSM00011,TN03,,ICICI Bank,Chennai,12.9872,80.2375,ATM,1,0.5,OpenStreetMap,330797779,ICICI Bank,ICICI Bank,,real_world_reference
OSM00012,TN04,,HDFC Bank,Coimbatore,10.9951,76.9711,ATM,1,0.5,OpenStreetMap,337586486,HDFC Bank,HDFC Bank,,real_world_reference
OSM00013,TN03,,HDFC Bank,Chennai,13.0214,80.2066,ATM,1,0.5,OpenStreetMap,369159350,HDFC Bank,HDFC Bank,,real_world_reference
OSM00014,TN03,,ICICI Bank,Chennai,13.0087,80.1961,ATM,1,0.5,OpenStreetMap,369161711,ICICI Bank,ICICI Bank,,real_world_reference
OSM00015,TN03,,Canara Bank,Chennai,13.0201,80.1853,ATM,1,0.5,OpenStreetMap,370972598,Canara Bank,Canara Bank,,real_world_reference
OSM00016,TN03,,Axis Bank,Chennai,13.0252,80.1766,ATM,1,0.5,OpenStreetMap,370972603,Axis Bank,Axis Bank,,real_world_reference
OSM00017,TN03,,ATM,Chennai,13.033,80.1615,ATM,1,0.5,OpenStreetMap,370972614,Karnataka Bank,Karnataka Bank,,real_world_reference
OSM00018,TN03,,State Bank of India,Chennai,13.0404,80.2468,ATM,1,0.5,OpenStreetMap,375679460,State Bank of India,State Bank of India,,real_world_reference
OSM00019,TN03,,SBT,Chennai,13.0383,80.2473,ATM,1,0.5,OpenStreetMap,375679581,,,,real_world_reference
OSM00020,TN03,,ICICI Bank,Chennai,13.0504,80.0991,ATM,1,0.5,OpenStreetMap,384727045,ICICI Bank,ICICI Bank,,real_world_reference
OSM00021,TN03,,ICICI Bank,Chennai,13.038,80.2561,ATM,1,0.5,OpenStreetMap,386890405,ICICI Bank,ICICI Bank,,real_world_reference
OSM00022,TN03,,Indian Bank,Chennai,13.0089,80.2109,ATM,1,0.5,OpenStreetMap,391847407,Indian Bank,Indian Bank,,real_world_reference
OSM00023,TN03,,ATM,Chennai,13.0886,80.2789,ATM,1,0.5,OpenStreetMap,393454750,Central Bank,,,real_world_reference
